# Generic CC cross section for A=40 Z=18 Q=4.3 (10^-38 cm^2/GeV) #
# Be aware, these are approximate, accuracy is not guaranteed! #
# log(energy in GeV)  nu_e      nu_mu      nu_tau      nu_e_bar      nu_mu_bar    nu_tau_bar #
-3.469558  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.466859  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.464160  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.461461  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.458762  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.456063  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.453364  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.450665  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.447966  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.445267  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.442568  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.439869  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.437170  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.434471  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.431772  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.429073  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.426374  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.423675  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.420976  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.418277  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.415578  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.412879  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.410180  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.407481  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.404782  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.402083  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.399384  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.396685  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.393986  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.391287  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.388588  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.385889  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.383191  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.380492  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.377793  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.375094  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.372395  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.369696  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.366997  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.364298  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.361599  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.358900  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.356201  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.353502  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.350803  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.348104  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.345405  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.342706  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.340007  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.337308  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.334609  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.331910  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.329211  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.326512  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.323813  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.321114  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.318415  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.315716  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.313017  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.310318  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.307619  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.304920  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.302221  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.299522  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.296823  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.294125  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.291426  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.288727  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.286028  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.283329  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.280630  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.277931  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.275232  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.272533  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.269834  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.267135  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.264436  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.261737  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.259038  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.256339  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.253640  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.250941  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.248242  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.245543  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.242844  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.240145  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.237446  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.234747  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.232048  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.229349  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.226650  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.223951  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.221252  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.218553  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.215854  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.213155  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.210456  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.207757  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
