# # pES cross section (10^-38 cm^2/GeV) #   From Beacom & Farr & Vogel hep-ph/0205220 #
# log(energy in GeV)  nu_e      nu_mu      nu_tau      nu_e_bar      nu_mu_bar    nu_tau_bar #

-3.169871  1.378031e-03  1.378031e-03  1.378031e-03  1.377865e-03  1.377865e-03  1.377865e-03
-3.167570  1.385335e-03  1.385335e-03  1.385335e-03  1.385166e-03  1.385166e-03  1.385166e-03
-3.165269  1.392677e-03  1.392677e-03  1.392677e-03  1.392507e-03  1.392507e-03  1.392507e-03
-3.162968  1.400058e-03  1.400058e-03  1.400058e-03  1.399886e-03  1.399886e-03  1.399886e-03
-3.160667  1.407477e-03  1.407477e-03  1.407477e-03  1.407304e-03  1.407304e-03  1.407304e-03
-3.158366  1.414937e-03  1.414937e-03  1.414937e-03  1.414761e-03  1.414761e-03  1.414761e-03
-3.156065  1.422435e-03  1.422435e-03  1.422435e-03  1.422258e-03  1.422258e-03  1.422258e-03
-3.153764  1.429973e-03  1.429973e-03  1.429973e-03  1.429794e-03  1.429794e-03  1.429794e-03
-3.151463  1.437551e-03  1.437551e-03  1.437551e-03  1.437370e-03  1.437370e-03  1.437370e-03
-3.149162  1.445169e-03  1.445169e-03  1.445169e-03  1.444986e-03  1.444986e-03  1.444986e-03
-3.146861  1.452828e-03  1.452828e-03  1.452828e-03  1.452643e-03  1.452643e-03  1.452643e-03
-3.144560  1.460527e-03  1.460527e-03  1.460527e-03  1.460340e-03  1.460340e-03  1.460340e-03
-3.142259  1.468266e-03  1.468266e-03  1.468266e-03  1.468077e-03  1.468077e-03  1.468077e-03
-3.139958  1.476047e-03  1.476047e-03  1.476047e-03  1.475856e-03  1.475856e-03  1.475856e-03
-3.137657  1.483868e-03  1.483868e-03  1.483868e-03  1.483675e-03  1.483675e-03  1.483675e-03
-3.135356  1.491731e-03  1.491731e-03  1.491731e-03  1.491536e-03  1.491536e-03  1.491536e-03
-3.133055  1.499636e-03  1.499636e-03  1.499636e-03  1.499439e-03  1.499439e-03  1.499439e-03
-3.130754  1.507582e-03  1.507582e-03  1.507582e-03  1.507383e-03  1.507383e-03  1.507383e-03
-3.128453  1.515570e-03  1.515570e-03  1.515570e-03  1.515369e-03  1.515369e-03  1.515369e-03
-3.126152  1.523601e-03  1.523601e-03  1.523601e-03  1.523397e-03  1.523397e-03  1.523397e-03
-3.123851  1.531674e-03  1.531674e-03  1.531674e-03  1.531468e-03  1.531468e-03  1.531468e-03
-3.121550  1.539789e-03  1.539789e-03  1.539789e-03  1.539581e-03  1.539581e-03  1.539581e-03
-3.119249  1.547948e-03  1.547948e-03  1.547948e-03  1.547738e-03  1.547738e-03  1.547738e-03
-3.116948  1.556149e-03  1.556149e-03  1.556149e-03  1.555937e-03  1.555937e-03  1.555937e-03
-3.114647  1.564394e-03  1.564394e-03  1.564394e-03  1.564180e-03  1.564180e-03  1.564180e-03
-3.112346  1.572683e-03  1.572683e-03  1.572683e-03  1.572466e-03  1.572466e-03  1.572466e-03
-3.110045  1.581015e-03  1.581015e-03  1.581015e-03  1.580796e-03  1.580796e-03  1.580796e-03
-3.107743  1.589391e-03  1.589391e-03  1.589391e-03  1.589170e-03  1.589170e-03  1.589170e-03
-3.105442  1.597812e-03  1.597812e-03  1.597812e-03  1.597588e-03  1.597588e-03  1.597588e-03
-3.103141  1.606277e-03  1.606277e-03  1.606277e-03  1.606051e-03  1.606051e-03  1.606051e-03
-3.100840  1.614787e-03  1.614787e-03  1.614787e-03  1.614558e-03  1.614558e-03  1.614558e-03
-3.098539  1.623341e-03  1.623341e-03  1.623341e-03  1.623110e-03  1.623110e-03  1.623110e-03
-3.096238  1.631941e-03  1.631941e-03  1.631941e-03  1.631708e-03  1.631708e-03  1.631708e-03
-3.093937  1.640587e-03  1.640587e-03  1.640587e-03  1.640351e-03  1.640351e-03  1.640351e-03
-3.091636  1.649278e-03  1.649278e-03  1.649278e-03  1.649039e-03  1.649039e-03  1.649039e-03
-3.089335  1.658015e-03  1.658015e-03  1.658015e-03  1.657774e-03  1.657774e-03  1.657774e-03
-3.087034  1.666798e-03  1.666798e-03  1.666798e-03  1.666554e-03  1.666554e-03  1.666554e-03
-3.084733  1.675627e-03  1.675627e-03  1.675627e-03  1.675381e-03  1.675381e-03  1.675381e-03
-3.082432  1.684503e-03  1.684503e-03  1.684503e-03  1.684255e-03  1.684255e-03  1.684255e-03
-3.080131  1.693427e-03  1.693427e-03  1.693427e-03  1.693175e-03  1.693175e-03  1.693175e-03
-3.077830  1.702397e-03  1.702397e-03  1.702397e-03  1.702143e-03  1.702143e-03  1.702143e-03
-3.075529  1.711414e-03  1.711414e-03  1.711414e-03  1.711157e-03  1.711157e-03  1.711157e-03
-3.073228  1.720479e-03  1.720479e-03  1.720479e-03  1.720220e-03  1.720220e-03  1.720220e-03
